Date,Open_Price,Close_Price,High_Price,Low_Price,Volume
1-Aug-19,7586.78,7584.87,7609.98,7535.9,822491456
2-Aug-19,7584.87,7407.06,7585.24,7397.91,1043849664
5-Aug-19,7407.06,7223.85,7407.06,7200.54,1269942016
6-Aug-19,7223.85,7171.69,7241.57,7166.98,744772160
7-Aug-19,7171.69,7198.7,7237.88,7153.89,748412672
8-Aug-19,7198.7,7285.9,7285.9,7191.25,722453440
9-Aug-19,7285.9,7253.85,7297.28,7237.13,726840384
12-Aug-19,7253.85,7226.72,7305.56,7207.46,573767936
13-Aug-19,7226.72,7250.9,7281.14,7166.86,687039872
14-Aug-19,7250.9,7147.88,7268.73,7112.05,798852224
15-Aug-19,7147.88,7067.01,7148.75,7020.22,768995200
16-Aug-19,7067.01,7117.15,7125.9,7067.01,641905920
19-Aug-19,7117.15,7189.65,7214.23,7117.15,607751232
20-Aug-19,7189.65,7125,7231.65,7121.24,591724608
21-Aug-19,7125,7203.97,7215.53,7122.12,545707584
22-Aug-19,7203.97,7128.18,7203.97,7103.67,632051968
23-Aug-19,7128.18,7094.98,7188.59,7094.98,627822080
27-Aug-19,7094.98,7089.58,7110.76,7044.73,830331456
28-Aug-19,7089.58,7114.71,7131.21,7050,649811584
29-Aug-19,7114.71,7184.32,7199.2,7103.12,581264896
30-Aug-19,7184.32,7207.18,7240.37,7179.7,658966720
2-Sep-19,7207.18,7281.94,7315.26,7206.9,463905120
3-Sep-19,7281.94,7268.19,7301.47,7239.1,615131328
4-Sep-19,7268.19,7311.26,7334.55,7268.19,644560512
5-Sep-19,7311.26,7271.17,7330.71,7250.63,697680768
6-Sep-19,7271.17,7282.34,7284.11,7244.13,634410560
9-Sep-19,7282.34,7235.81,7325.21,7205.98,742425472
10-Sep-19,7235.81,7267.95,7270.5,7199.4,960964096
11-Sep-19,7267.95,7338.03,7346.71,7267.95,766020352
12-Sep-19,7338.03,7344.67,7369.34,7303.17,705877248
13-Sep-19,7344.67,7367.46,7380.29,7318.23,987523520
16-Sep-19,7367.46,7321.41,7378.32,7321.41,837454528
17-Sep-19,7321.41,7320.4,7350.24,7292.23,679066880
18-Sep-19,7320.4,7314.05,7350.52,7300.37,621889984
19-Sep-19,7314.05,7356.42,7373.08,7290.69,621236736
20-Sep-19,7356.42,7344.92,7376.31,7322.01,1642943616
23-Sep-19,7344.92,7326.08,7362.3,7284.75,496799200
24-Sep-19,7326.08,7291.43,7348.97,7281.91,573066432
25-Sep-19,7291.43,7289.99,7292,7212.96,667385152
26-Sep-19,7289.99,7351.08,7387.09,7277.15,605473472
27-Sep-19,7351.08,7426.21,7440.77,7351,574489472
30-Sep-19,7426.21,7408.21,7439.62,7402.2,675688576
1-Oct-19,7408.21,7360.32,7433.24,7352.83,677411072
2-Oct-19,7360.32,7122.54,7360.32,7119.72,741743616
3-Oct-19,7122.54,7077.64,7129.02,7004.43,624502848
4-Oct-19,7077.64,7155.38,7157.75,7077.4,582420928
7-Oct-19,7155.38,7197.88,7206.89,7132.98,498144640
8-Oct-19,7197.88,7143.15,7223.86,7143.15,649525888
9-Oct-19,7143.15,7166.5,7196.41,7139.9,569807424
10-Oct-19,7166.5,7186.36,7212.9,7130.52,674023296
11-Oct-19,7186.36,7247.08,7250.09,7144.66,1473659520
14-Oct-19,7247.08,7213.45,7251.8,7194.21,675627840
15-Oct-19,7213.45,7211.64,7242.37,7176.67,1015486592
16-Oct-19,7211.64,7167.95,7217.63,7149.84,947022720
17-Oct-19,7167.95,7182.32,7237.78,7162.04,1110676480
18-Oct-19,7182.32,7150.57,7197.14,7146.11,838325056
21-Oct-19,7150.57,7163.64,7197.53,7139.38,765053632
22-Oct-19,7163.64,7212.49,7230.17,7146.69,707793344
23-Oct-19,7212.49,7260.74,7265.86,7194.13,703061248
24-Oct-19,7260.74,7328.25,7338.87,7255.46,665903744
25-Oct-19,7328.25,7324.47,7331.17,7279.78,541186624
28-Oct-19,7324.47,7331.28,7346.92,7291.59,653623104
29-Oct-19,7331.28,7306.26,7335.73,7264.74,684461824
30-Oct-19,7306.26,7330.78,7334.04,7278.18,611647616
31-Oct-19,7330.78,7248.38,7335.16,7245.23,757165056
1-Nov-19,7248.38,7302.42,7307.18,7248.38,537320640
4-Nov-19,7302.42,7369.69,7392.73,7302.42,556569792
5-Nov-19,7369.69,7388.08,7402.79,7369.61,630693504
6-Nov-19,7388.08,7396.65,7398.78,7363.55,577595712
7-Nov-19,7396.65,7406.41,7431.94,7396,631053248
8-Nov-19,7406.41,7359.38,7406.83,7349.12,514110240
11-Nov-19,7359.38,7328.54,7359.38,7258.46,787498880
12-Nov-19,7328.54,7365.44,7390,7328.18,690138368
13-Nov-19,7365.44,7351.21,7365.44,7301.71,615776896
14-Nov-19,7351.21,7292.76,7351.28,7292.76,561467328
15-Nov-19,7292.76,7302.94,7335.55,7243.15,686577024
18-Nov-19,7302.94,7307.7,7335.36,7293.4,726330944
19-Nov-19,7307.7,7323.8,7404.47,7307.7,587450240
20-Nov-19,7323.8,7262.49,7323.8,7219.11,739247232
21-Nov-19,7262.49,7238.55,7262.49,7197.33,587471936
22-Nov-19,7238.55,7326.81,7343.26,7238.47,587211712
25-Nov-19,7326.81,7396.29,7401.78,7326.81,555912256
26-Nov-19,7396.29,7403.14,7421.3,7384.96,990124096
27-Nov-19,7403.14,7429.78,7446,7400.38,611514560
28-Nov-19,7429.78,7416.43,7429.78,7385.32,580914880
29-Nov-19,7416.43,7346.53,7421.4,7346.53,601540544
2-Dec-19,7346.53,7285.94,7400.27,7277.02,854888064
3-Dec-19,7285.94,7158.76,7285.94,7134.93,800978240
4-Dec-19,7158.76,7188.5,7190.04,7139.91,659025792
5-Dec-19,7188.5,7137.85,7194.78,7131.16,599905152
6-Dec-19,7137.85,7239.66,7241.5,7137.85,491722144
9-Dec-19,7239.66,7233.9,7255.73,7217.8,554551232
10-Dec-19,7233.9,7213.76,7234.4,7137.84,677738048
11-Dec-19,7213.76,7216.25,7250.67,7195.49,707132608
12-Dec-19,7216.25,7273.47,7307.36,7216.08,702254464
13-Dec-19,7273.47,7353.44,7429.04,7223.42,1750660480
16-Dec-19,7353.44,7519.05,7552.65,7353.18,980702208
17-Dec-19,7519.05,7525.28,7537.66,7497.15,1058965504
18-Dec-19,7525.28,7540.75,7557.05,7515.17,653752512
19-Dec-19,7540.75,7573.82,7575.9,7526.1,655612160
20-Dec-19,7573.82,7582.48,7599.52,7564.59,1160705664
23-Dec-19,7582.48,7623.59,7628.2,7559.63,484884448
27-Dec-19,7632.24,7644.9,7665.4,7622.46,307085152
30-Dec-19,7644.9,7587.05,7644.9,7587.05,289089056
2-Jan-20,7542.44,7604.3,7624.78,7542.44,471518624
3-Jan-20,7604.3,7622.4,7626.41,7551,433410880
6-Jan-20,7622.4,7575.34,7622.4,7528.08,507945696
7-Jan-20,7575.34,7573.85,7604.59,7562.14,496371744
8-Jan-20,7573.85,7574.93,7579.48,7524.96,586270720
9-Jan-20,7574.93,7598.12,7627.76,7574.93,610760128
10-Jan-20,7598.12,7587.85,7631.96,7585.07,598582912
13-Jan-20,7587.85,7617.6,7635.77,7582.51,615160256
14-Jan-20,7617.6,7622.35,7650.69,7588.81,639221952
15-Jan-20,7622.35,7642.8,7642.8,7609.44,608300096
