,content,sentiment,value
0,I cannot open the app anymore,Negative,0
1,I have been begging for a refund from this app for over a month and nobody is replying me,Negative,0
2,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,Positive,1
3,Dan Birthday Oct 28,Negative,0
4,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,Negative,0
5,How do to stop monthly payment because i don't use this app anymore,Negative,0
6,Horrible app. It doesn't do as described. Absolutely no support!,Negative,0
7,Did not realize there was a charge for this app do not want this app.,Positive,1
8,Downloaded first thing it trys to do is do a con. Not impressed.,Positive,1
9,No longer works with Alexa. What happened??,Negative,0
10,it doesn't show any list,Negative,0
11,Do not download,Negative,0
12,This app is not what I wanted at all.,Negative,0
13,Unnecessary pop up. Really annoying and counterproductive,Negative,0
14,They recently started sending spammy notifications every week or so. Please stop.,Positive,1
15,7 days for free and then you pay. Plus too complicated for some simple tasks,Positive,1
16,Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,Negative,0
17,Expensive paywall preventing access to features in wanting to try out,Negative,0
18,Worst application no task information on screen,Negative,0
19,I am not providing email addresses or google or Facebook accounts for a todo list,Negative,0
20,Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,Negative,0
21,I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,Negative,0
22,Have to pay premium if you want to put multiple reminders a day,Negative,0
23,Prayer Ubde,Negative,0
24,such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,Negative,0
25,Yes i what,Positive,1
26,Waste,Negative,0
27,Was charged for the year instead of monthly,Negative,0
28,Will not enable me to unsubscribe!,Negative,0
29,Dindigul,Negative,0
30,Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,Negative,0
31,Features for the free version are just disappointing.,Negative,0
32,Locking basic features behind a paywall is kinda weird,Negative,0
33,Soo awkward i can't able to sign *up* 😭 Sick app,Negative,0
34,Hangs when setting up Google Assistant,Negative,0
35,Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,Negative,0
36,good,Positive,1
37,Duplicates files attached and you have to constantly delete. FIX THE BUGS.,Negative,0
38,Used to work so well earlier. Now it doesn't work at all!! Junk!!,Positive,1
39,Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,Negative,0
40,Too complicated to use,Negative,0
41,Forced sign in,Negative,0
42,Work on it,Negative,0
43,"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",Positive,1
44,do not for showing or refund&refuse about my persional privacy.,Negative,0
